1;3464;9.900000;30;small
2;1088;9.900000;21;small
3;1577;9.900000;275;small
4;1640;9.900000;408;small
5;4607;9.900000;429;small
6;2895;9.900000;459;small
7;4219;9.900000;497;small
8;1745;9.900000;494;small
9;4437;9.900000;508;small
10;4305;9.900000;546;small
11;2839;9.900000;563;small
12;1615;9.900000;592;small
13;4589;9.900000;611;small
14;2974;9.900000;604;small
15;1855;9.900000;593;small
16;1778;9.900000;641;small
17;1948;9.900000;661;small
18;4414;9.900000;679;small
19;2783;9.900000;662;small
20;1674;9.900000;700;small
21;3087;9.900000;743;small
22;1973;9.900000;723;small
23;1885;9.900000;737;small
24;2895;9.900000;767;small
25;3015;9.900000;723;small
26;1790;9.900000;785;small
27;1648;9.900000;834;small
28;1504;9.900000;802;small
29;1981;9.900000;839;small
30;3047;9.900000;866;small
31;1747;9.900000;878;small
32;2782;9.900000;863;small
33;1868;9.900000;903;small
34;1516;9.900000;928;small
35;2949;9.900000;963;small
36;1731;9.900000;990;small
37;2773;9.900000;950;small
38;3102;9.900000;1005;small
39;2837;9.900000;1094;small
40;1637;9.900000;1060;small
41;1510;9.900000;1083;small
42;2645;9.900000;1099;small
43;2450;9.900000;1119;small
44;3155;9.900000;1112;small
45;2989;9.900000;1149;small
46;3658;9.900000;1208;small
47;2371;9.900000;1195;small
48;2593;9.900000;1237;small
49;2716;9.900000;1224;small
50;3997;9.900000;1230;small
51;1223;9.900000;1254;small
52;3210;9.900000;1250;small
53;3009;9.900000;1280;small
54;3634;9.900000;1329;small
55;2403;9.900000;1311;small
56;3295;9.900000;1319;small
57;2849;9.900000;1291;small
58;3812;9.900000;1338;small
59;2542;9.900000;1345;small
60;2754;9.900000;1381;small
61;3532;9.900000;1385;small
62;3134;9.900000;1413;small
63;3358;9.900000;1424;small
64;2669;9.900000;1434;small
65;2936;9.900000;1421;small
66;4144;9.900000;1430;small
67;3732;9.900000;1416;small
68;1026;9.900000;1448;small
69;1150;9.900000;1461;small
70;3917;9.900000;1473;small
71;2462;9.900000;1453;small
72;3635;9.900000;1488;small
73;2582;9.900000;1491;small
74;3493;9.900000;1477;small
75;3356;9.900000;1508;small
76;3220;9.900000;1562;small
77;956;9.900000;1555;small
78;1344;9.900000;1533;small
79;3716;9.900000;1529;small
80;3531;9.900000;1560;small
81;894;9.900000;1534;small
82;3816;9.900000;1563;small
83;3088;9.900000;1621;small
84;1095;9.900000;1583;small
85;4111;9.900000;1576;small
86;3455;9.900000;1572;small
87;862;9.900000;1600;small
88;4299;9.900000;1655;small
89;3619;9.900000;1651;small
90;2489;9.900000;1635;small
91;3412;9.900000;1659;small
92;3925;9.900000;1695;small
93;1318;9.900000;1660;small
94;1148;9.900000;1657;small
95;2855;9.900000;1702;small
96;3193;9.900000;1637;small
97;933;9.900000;1707;small
98;820;9.900000;1696;small
99;3726;9.900000;1667;small
100;1470;9.900000;1707;small
101;3357;9.900000;1795;small
102;4136;9.900000;1752;small
103;2598;9.900000;1767;small
104;1593;9.900000;1770;small
105;3090;9.900000;1826;small
106;2730;9.900000;1813;small
107;1133;9.900000;1879;small
108;1030;9.900000;1781;small
109;3587;9.900000;1808;small
110;1453;9.900000;1827;small
111;4413;9.900000;1824;small
112;3240;9.900000;1880;small
113;1218;9.900000;1804;small
114;2917;9.900000;1827;small
115;2859;9.900000;1917;small
116;828;9.900000;1854;small
117;3326;9.900000;1891;small
118;3998;9.900000;1917;small
119;3872;9.900000;1845;small
120;4209;9.900000;1933;small
121;1306;9.900000;1909;small
122;1642;9.900000;1921;small
123;3465;9.900000;1937;small
124;957;9.900000;1926;small
125;3710;9.900000;1955;small
126;4813;9.900000;1959;small
127;2970;9.900000;1989;small
128;3233;9.900000;1986;small
129;766;9.900000;1983;small
130;1145;9.900000;1962;small
131;3098;9.900000;1976;small
132;3577;9.900000;2016;small
133;1514;9.900000;2000;small
134;3374;9.900000;2022;small
135;2727;9.900000;2026;small
136;4013;9.900000;2039;small
137;4391;9.900000;2013;small
138;4536;9.900000;2036;small
139;907;9.900000;2060;small
140;4708;9.900000;2072;small
141;294;9.900000;2078;small
142;3218;9.900000;2093;small
143;3085;9.900000;2097;small
144;3831;9.900000;2079;small
145;638;9.900000;2095;small
146;4278;9.900000;2194;small
147;1082;9.900000;2096;small
148;4420;9.900000;2119;small
149;3306;9.900000;2115;small
150;4228;9.900000;2098;small
151;2724;9.900000;2113;small
152;2925;9.900000;2110;small
153;4649;9.900000;2128;small
154;471;9.900000;2131;small
155;3519;9.900000;2124;small
156;4966;9.900000;2121;small
157;3396;9.900000;2127;small
158;4807;9.900000;2137;small
159;772;9.900000;2142;small
160;4526;9.900000;2182;small
161;3682;9.900000;2163;small
162;1919;9.900000;2176;small
163;3909;9.900000;2214;small
164;3228;9.900000;2187;small
165;2807;9.900000;2196;small
166;3021;9.900000;2199;small
167;5066;9.900000;2200;small
168;649;9.900000;2208;small
169;331;9.900000;2217;small
170;884;9.900000;2214;small
171;4057;9.900000;2244;small
172;3387;9.900000;2222;small
173;4685;9.900000;2228;small
174;1210;9.900000;2230;small
175;4846;9.900000;2234;small
176;237;9.900000;2251;small
177;1552;9.900000;2241;small
178;1026;9.900000;2242;small
179;4949;9.900000;2241;small
180;536;9.900000;2257;small
181;2930;9.900000;2257;small
182;5056;9.900000;2267;small
183;416;9.900000;2283;small
184;1862;9.900000;2289;small
